'Prod_ID','DescGen','DescAdic','Marca','Proveedor','Cat_ID','SubCat_ID','CantEnvase'
'TA1200G','TERMO','TERMO  Capacidad: 1200 cc.  Terminación: C/MANIJA RIGIDA','WATERDOG','000012','CAMP','138',1
'TA1500CC','TERMO','TERMO  Capacidad: 1500 cc.  Terminación: CON MANIJA','WATERDOG','000012','CAMP','138',1
'TA1500G','TERMO','TERMO  Capacidad: 1500 cc.  Terminación: C/MANIJA RIGIDA','WATERDOG','000012','CAMP','138',1
'TA1800G','TERMO','TERMO  Capacidad: 1800 cc.  Terminación: C/MANIJA RIGIDA','WATERDOG','000012','CAMP','138',1
'TA21000CC','TERMO','TERMO  Capacidad: 1000 cc.  Terminación: CON MANIJA','WATERDOG','000012','CAMP','138',1
'TA450D','BOTELLA TÉRMICA','BOTELLA TÉRMICA Color: TERMICA Capacidad: 450 cc.  Tapa: ACERO INOX','WATERDOG','000012','CAMP','138',1
'TA500B','TERMO','TERMO  Capacidad: 500 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA500BG','TERMO','TERMO  Capacidad: 500 cc.  Terminación: C/MANIJA RIGIDA','WATERDOG','000012','CAMP','138',1
'TA500HB','TERMO','TERMO  Capacidad: 500 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA501A','TERMO','TERMO  Capacidad: 500 cc.  Terminación: BALA PINTADO','WATERDOG','000012','CAMP','138',1
'TA501B','TERMO','TERMO  Capacidad: 500 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA501P','TERMO','TERMO  Capacidad: 500 cc.  Terminación: ANTIDESLIZANTE','WATERDOG','000012','CAMP','138',1
'TA559','MESA','MESA Medida: 70x70x70 Estructura: EST. ALUMINIO  Tabla: ALUMINIO','WATERDOG','000051','CAMP','176',1
'TA700HB','TERMO','TERMO  Capacidad: 700 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA751A','TERMO','TERMO  Capacidad: 750 cc.  Terminación: BALA PINTADO','WATERDOG','000012','CAMP','138',1
'TA751B','TERMO','TERMO  Capacidad: 750 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA751P','TERMO','TERMO  Capacidad: 750 cc.  Terminación: ANTIDESLIZANTE','WATERDOG','000012','CAMP','138',1
'TA800B','TERMO','TERMO  Capacidad: 800 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TAI202','REEL TAIPAN NEW','REEL TAIPAN NEW Capacidad: Con .2mm 100 M   Rulemanes: 2 RULEMANES','WATERDOG','000034','PESR','206',1
'TAI302','REEL TAIPAN NEW','REEL TAIPAN NEW Capacidad: Con .3mm 100 M   Rulemanes: 2 RULEMANES','WATERDOG','000034','PESR','206',1
'TAI402','REEL TAIPAN NEW','REEL TAIPAN NEW Capacidad: Con .4mm 100 M   Rulemanes: 2 RULEMANES','WATERDOG','000034','PESR','210',1
'TAI502','REEL TAIPAN NEW','REEL TAIPAN NEW Capacidad: Con .5mm 100 M   Rulemanes: 2 RULEMANES','WATERDOG','000034','PESR','210',1
'TAL1/8','TUBO PARA LEADERS','TUBO PARA LEADERS Modelo: 12U X 12 Sobres Material: ALUMINIO  Número: 1/8','WATERDOG','000000','PESP','196',1
'TAL2/2','TUBO PARA LEADERS','TUBO PARA LEADERS Modelo: 12U X 12 Sobres Material: ALUMINIO  Número: 2/2','WATERDOG','000000','PESP','196',1
'TAL2/4','TUBO PARA LEADERS','TUBO PARA LEADERS Modelo: 12U X 12 Sobres Material: ALUMINIO  Número: 2/4','WATERDOG','000000','PESP','196',1
'TAL2/8','TUBO PARA LEADERS','TUBO PARA LEADERS Modelo: 12U X 12 Sobres Material: ALUMINIO  Número: 2/8','WATERDOG','000000','PESP','196',1
'TAL3/2','TUBO PARA LEADERS','TUBO PARA LEADERS Modelo: 12U X 12 Sobres Material: ALUMINIO  Número: 3/2','WATERDOG','000000','PESP','196',1
'TAN4007','CAÑA TANDURA','CAÑA TANDURA Largo: 400 cm. Tramos: 7 Tramos  Acción: Liviana','WATERDOG','000012','PESC','76',1
'TAN4207','CAÑA TANDURA','CAÑA TANDURA Largo: 420 cm. Tramos: 7 Tramos  Acción: Liviana','WATERDOG','000012','PESC','76',1
'TAN4507','CAÑA TANDURA','CAÑA TANDURA Largo: 450 cm. Tramos: 7 Tramos  Acción: Liviana','WATERDOG','000012','PESC','76',1
'TANNEX4007-1','TRAMO ANNEX','TRAMO ANNEX Largo: 400 Secciones: 7  Tramo: 1','KUNNAN','000006','PESP','211',1
'TANNEX4007-2','TRAMO ANNEX','TRAMO ANNEX Largo: 400 Secciones: 7  Tramo: 2','KUNNAN','000006','PESP','211',1
'TANNEX4007-6','TRAMO ANNEX','TRAMO ANNEX Largo: 400 Secciones: 7  Tramo: 6','KUNNAN','000006','PESP','211',1
'TANNEX4207-2','TRAMO ANNEX','TRAMO ANNEX Largo: 420 Secciones: 7  Tramo: 2','KUNNAN','000006','PESP','211',1
'TANNEX4207-6','TRAMO ANNEX','TRAMO ANNEX Largo: 420 Secciones: 7  Tramo: 6','KUNNAN','000006','PESP','211',1
'TAPA1.5','REPUESTO TAPA','REPUESTO TAPA  Tipo: 1500 CM3','WATERDOG','000000','CAMP','221',1
'TAPA550','REPUESTO TAPA','REPUESTO TAPA  Tipo: 550 CM3','WATERDOG','000000','CAMP','221',1
'TAPATA1000CC','REPUESTO TAPA','REPUESTO TAPA  Tipo: 1000 CM3  Extra: CON MANIJA','WATERDOG','000012','CAMP','221',1
'TAPATA1500CC','REPUESTO TAPA','REPUESTO TAPA  Tipo: 1500 CM3  Extra: CON MANIJA','WATERDOG','000012','CAMP','221',1
'TAPATA501B','REPUESTO TAPA','REPUESTO TAPA  Tipo: 500 CM3  Extra: TIPO BALA','WATERDOG','000012','CAMP','221',1
'TAPATA751B','REPUESTO TAPA','REPUESTO TAPA  Tipo: 750 CM3  Extra: TIPO BALA','WATERDOG','000012','CAMP','221',1
'TAPONBOX','REPUESTO CAMPING','REPUESTO CAMPING Modelo: TAPÓN COLCHON Tipo: BOX  Extra: AFELP. Y ENGO.','WATERDOG','000000','CAMP','180',10
'TARCO27','MOCHILAS URBANAS','MOCHILAS URBANAS Modelo: TARCO Capacidad: 27 Litros','WATERDOG','000020','CAMP','175',1
'TARGUS6002','REEL TARGUS','REEL TARGUS Capacidad: Con .6mm 150 M   Rulemanes: 2 RULEMANES','WATERDOG','000012','PESR','210',1
'TARGUS7002','REEL TARGUS','REEL TARGUS Capacidad: Con .6mm 155 M   Rulemanes: 2 RULEMANES','WATERDOG','000012','PESR','210',1
'TARROW4004TOP','TRAMO ARROW','TRAMO ARROW Largo: 400 Secciones: 4  Tramo: TOP','KUNNAN','000000','PESP','211',1
'TATO3903-1','TRAMO ATOLON','TRAMO ATOLON Largo: 390 Secciones: 3  Tramo: 1','WATERDOG','000006','PESP','211',1
'TATO3903-3','TRAMO ATOLON','TRAMO ATOLON Largo: 390 Secciones: 3  Tramo: 3','WATERDOG','000006','PESP','211',1
'TB12D','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: D  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12G','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: G  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12HGPM','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGPM  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12HGR','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGR  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12HGRT','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGRT  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12HSBK','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HSBK  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12K','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: K  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12S','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: S  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12T','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: T  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12XBLM','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XBLM  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12XGNM','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XGNM  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12XGR','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XGR  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12XSBL','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XSBL  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB12Z','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: Z  Peso: 12 grs.','WATERDOG','000012','PESP','98',6
'TB18D','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: D  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18G','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: G  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18HGPM','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGPM  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18HGR','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGR  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18HGRT','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGRT  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18HSBK','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HSBK  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
