venta_id,categoria,monto_total
486,PESC,5208
486,PESP,4517
486,PESR,1908
487,CAMP,5772
487,PESP,19671
487,PESR,908
487,TIRO,1632
488,PESP,5178
489,OPTI,23214
490,PESP,1095
491,PESP,19008
492,CAMP,1068
492,PESP,1224
493,INDU,4773
493,INST,1390
493,OPTI,9072
494,PESC,10692
494,PESP,4267
494,PESR,18166
494,TIRO,2664
495,CAMP,1624
495,INDP,574
495,PESP,8739
495,PESR,9080
496,PESC,1782
496,PESP,1800
499,PESP,504
500,PESP,19678
501,PESC,45890
501,PESP,42856
501,PESR,53326
502,INDP,7356
502,PESP,2620
503,CAMP,4944
503,PESP,2259
503,PESR,2097
504,PESC,2226
509,INDU,4176
510,CUCH,1328
510,INDU,2820
510,OPTI,1059
510,PESP,1240
512,PESC,1556
512,PESR,708
513,CAMP,11652
513,PESP,0
514,CAMP,4670
515,TIRO,9138
516,PESC,5082
516,PESR,1302
517,CAMP,11855
517,TIRO,1457
518,CAMP,2340
519,CAMP,1575
520,TIRO,1998
521,CAMP,107
522,CAMP,4474
522,OPTI,2163
523,CAMP,4228
523,CUCH,533
523,INDP,3028
523,OPTI,957
523,PESC,8291
523,PESP,7104
523,PESR,10348
524,OPTI,11973
525,CAMP,4902
526,PESP,3781
526,PESR,3968
527,CAMP,2136
527,INDP,10940
527,PESC,1583
527,PESP,2064
527,PESR,1617
528,CAMP,30245
528,INDU,2764
528,OPTI,3449
529,PESP,431
530,PESC,489
531,PESC,22450
531,PESP,18336
531,PESR,16050
532,PESP,10668
533,PESP,3168
534,INDP,6564
534,PESC,12050
534,PESP,24839
535,PESP,11520
536,PESR,22700
537,TIRO,2664
583,PESP,0
584,INST,214
584,OPTI,2146
585,CAMP,408
585,OPTI,804
586,PESP,1512
586,PESR,3415
587,CAMP,6072
587,INDU,7824
587,PESP,400
587,TIRO,1257
588,OPTI,22945
589,OPTI,669
590,PESC,4562
591,OPTI,5871
592,PESC,2812
593,OPTI,2001
594,INDP,3726
595,CAMP,4140
596,INDU,18310
597,INDP,1401
598,PESC,1193
599,CAMP,768
600,CAMP,8202
600,CUCH,728
600,PESP,6996
601,CAMP,4930
601,INDP,1401
601,OPTI,916
601,PESC,6652
601,PESP,1058
601,PESR,2965
603,PESC,1452
607,PESC,2774
608,PESC,1623
609,OPTI,446
610,PESC,4877
610,PESP,850
610,PESR,3855
611,PESC,4700
612,INDU,3696
613,CAMP,9433
613,INDU,412
613,PESC,9514
613,PESP,14192
613,PESR,7377
613,TIRO,229
614,CAMP,30464
614,OPTI,960
614,PESP,3220
614,PESR,4745
615,PESC,363
616,CAMP,21155
616,PESP,0
617,CAMP,4595
617,PESP,0
617,TIRO,231
618,OPTI,2412
619,CAMP,186
620,CAMP,3444
620,INDU,8361
621,INDP,6564
621,PESC,3306
621,PESP,3645
621,PESR,2910
622,CAMP,1076
622,PESC,1932
623,CAMP,3381
624,CAMP,2698
625,PESP,4786
626,CAMP,5277
626,PESC,2696
626,PESR,1576
627,CAMP,4350
627,INDU,61958
628,PESP,1044
629,OPTI,5264
689,CAMP,1316
689,INST,346
689,OPTI,657
695,CAMP,7889
695,INDU,4356
696,PESC,3940
696,PESR,858
697,CAMP,0
697,PESP,14946
698,PESC,5226
698,PESR,9383
699,CAMP,604
699,PESC,5432
699,PESP,4269
699,TIRO,412
700,CAMP,1719
700,INDU,3216
700,INST,214
701,OPTI,255
702,CAMP,2848
702,PESC,5832
702,PESP,5156
702,PESR,7600
703,CAMP,10744
703,CUCH,336
703,INDU,7540
704,CAMP,1076
704,INDU,670
704,PESC,10405
704,PESR,5748
705,CAMP,2856
705,OPTI,10430
706,OPTI,2958
707,PESP,0
708,PESC,20263
708,PESP,4020
708,PESR,5682
709,PESC,13950
709,PESP,7800
709,PESR,15820
710,CAMP,13506
710,INDP,7030
710,PESC,7077
710,PESP,12824
710,PESR,932
710,TIRO,680
711,OPTI,16800
711,PESC,20000
711,PESP,4210
711,PESR,17860
711,TIRO,1198
712,PESC,18760
712,PESP,16242
712,PESR,15900
713,INDP,21736
714,CAMP,384
715,CAMP,12726
716,CAMP,1000
716,INDU,13692
717,CAMP,360
718,OPTI,3003
719,INDP,4476
720,CAMP,17152
721,OPTI,6392
722,CAMP,864
722,OPTI,14592
723,INDP,2677
723,INDU,2452
723,PESC,2882
723,PESP,700
723,PESR,208
723,TIRO,384
724,OPTI,5120
725,CUCH,1348
726,PESC,1662
726,PESP,6103
727,INDP,988
727,PESC,691
727,PESR,695
728,INDP,2188
729,CAMP,14711
729,INDP,748
729,PESC,7823
729,PESP,6156
729,PESR,4210
729,TIRO,4968
730,INDP,7636
730,PESC,46825
730,PESP,38507
730,PESR,34200
758,PESC,10324
758,PESP,8253
758,PESR,7914
758,TIRO,1152
760,PESR,1493
761,PESC,15080
761,PESR,10960
764,CAMP,2028
765,INDP,6452
766,INDP,988
766,PESC,3286
766,PESP,3024
767,PESP,28875
768,PESC,7044
768,PESR,25083
769,PESC,14056
769,PESP,13446
769,PESR,15675
770,CAMP,780
771,CAMP,4120
771,INDP,5292
771,PESC,5425
771,PESP,2276
771,PESR,4298
772,PESP,28619
773,OPTI,687
773,PESP,14278
774,CAMP,2535
775,CAMP,5728
779,CAMP,10587
780,PESC,11623
780,PESP,1732
780,PESR,6230
781,CAMP,1108
781,OPTI,3363
782,OPTI,1364
782,PESP,2160
783,OPTI,5268
784,CAMP,7248
784,INDU,28152
785,CAMP,590
785,PESP,2826
785,PESR,1183
786,CAMP,6804
786,INDU,9964
787,CAMP,5186
787,INDP,8741
787,PESC,6641
787,PESP,2970
788,CAMP,19152
788,INDU,13033
788,OPTI,5623
789,CAMP,8044
789,CUCH,1137
789,PESC,12574
789,PESP,6064
789,PESR,8413
795,CAMP,2304
795,PESC,14808
795,PESP,12948
795,PESR,19380
796,CAMP,450
796,PESC,5207
796,PESP,3880
796,PESR,5586
797,PESP,31400
798,PESC,6935
847,CAMP,2506
848,CAMP,558
849,CAMP,6554
850,PESC,9664
