venta_id,monto_por_categoria
379,PESR_medio
380,PESC_mucho
380,PESR_muchisimo
381,CUCH_medio
381,INDP_medio
381,INDU_medio
381,INST_poco
381,PESP_medio
382,CAMP_poco
382,PESC_medio
382,PESP_poco
382,PESR_medio
383,CAMP_mucho
384,PESC_muchisimo
384,PESR_muchisimo
388,PESC_poco
389,CAMP_medio
390,CAMP_medio
390,CUCH_poco
390,OPTI_mucho
390,PESC_medio
390,PESP_mucho
390,PESR_mucho
391,PESC_medio
391,PESP_poco
391,PESR_poco
392,PESC_medio
392,PESR_poco
393,PESC_mucho
393,PESP_poco
393,PESR_mucho
394,PESP_muchisimo
395,CAMP_poco
395,CUCH_poco
395,INDU_muchisimo
395,PESP_poco
396,CAMP_poco
397,CAMP_poco
397,PESP_medio
397,PESR_medio
398,CAMP_mucho
398,INDU_muchisimo
398,TIRO_medio
399,CAMP_muchisimo
399,PESC_medio
399,PESR_poco
400,OPTI_mucho
401,PESC_muchisimo
401,PESP_mucho
401,PESR_muchisimo
403,CAMP_poco
403,PESC_poco
404,PESC_mucho
404,PESP_muchisimo
404,PESR_medio
405,PESP_poco
406,INDP_mucho
406,PESC_muchisimo
406,PESP_mucho
406,PESR_muchisimo
407,INDP_medio
408,PESC_muchisimo
408,PESP_medio
408,PESR_poco
409,PESP_medio
410,PESC_muchisimo
410,PESP_muchisimo
410,PESR_muchisimo
411,CAMP_muchisimo
411,PESC_muchisimo
411,PESP_medio
411,PESR_muchisimo
411,TIRO_poco
412,CAMP_muchisimo
412,CUCH_poco
412,PESC_muchisimo
412,PESP_medio
412,PESR_mucho
413,CAMP_poco
413,PESC_mucho
413,PESP_poco
414,CAMP_muchisimo
414,INST_poco
414,PESP_muchisimo
415,PESC_muchisimo
415,PESP_poco
415,PESR_muchisimo
416,PESC_muchisimo
416,PESR_muchisimo
417,INDU_muchisimo
418,OPTI_muchisimo
418,PESC_muchisimo
418,PESP_muchisimo
419,OPTI_medio
419,PESC_medio
419,PESP_poco
419,PESR_medio
420,CAMP_medio
420,OPTI_mucho
421,CAMP_mucho
422,CAMP_medio
423,OPTI_poco
424,OPTI_mucho
425,CAMP_mucho
425,INDU_muchisimo
426,PESP_muchisimo
427,CAMP_poco
431,CAMP_medio
432,PESC_poco
433,PESP_medio
434,CAMP_poco
435,CAMP_poco
435,OPTI_medio
436,PESR_poco
437,CAMP_poco
437,OPTI_medio
437,PESC_medio
437,PESP_medio
438,OPTI_poco
439,PESC_poco
440,PESC_muchisimo
440,PESR_medio
441,PESP_muchisimo
442,CAMP_muchisimo
442,PESP_poco
443,CAMP_poco
444,CAMP_mucho
444,INDP_muchisimo
444,PESC_muchisimo
444,PESP_medio
445,CAMP_medio
445,INDP_poco
446,CAMP_poco
446,CUCH_medio
446,INDU_poco
446,PESC_muchisimo
446,PESR_medio
447,CAMP_poco
447,OPTI_medio
448,INDP_muchisimo
449,INDP_mucho
449,PESC_muchisimo
449,PESP_muchisimo
449,PESR_muchisimo
450,PESR_mucho
451,CAMP_muchisimo
451,INDU_medio
451,TIRO_medio
452,PESP_mucho
453,PESP_mucho
454,CAMP_mucho
455,PESP_muchisimo
456,OPTI_mucho
457,PESR_medio
458,OPTI_mucho
459,CAMP_muchisimo
459,PESP_poco
460,CAMP_medio
460,INDU_medio
460,OPTI_poco
460,PESC_medio
460,PESP_medio
460,PESR_medio
461,OPTI_muchisimo
462,CUCH_poco
462,PESC_mucho
462,PESP_poco
462,PESR_medio
463,PESC_mucho
464,PESP_muchisimo
465,PESP_muchisimo
466,PESC_muchisimo
466,PESR_muchisimo
467,PESC_mucho
467,PESR_mucho
468,PESP_muchisimo
469,TIRO_muchisimo
470,PESC_medio
470,PESR_medio
471,CAMP_muchisimo
471,CUCH_medio
471,INDP_medio
471,PESP_muchisimo
472,PESR_muchisimo
473,CAMP_poco
474,CAMP_muchisimo
474,INDP_medio
474,INST_medio
474,OPTI_medio
474,PESP_medio
474,PESR_muchisimo
475,INDU_poco
475,PESP_muchisimo
476,OPTI_poco
477,PESC_mucho
477,PESR_medio
478,PESC_muchisimo
478,PESP_muchisimo
478,PESR_muchisimo
479,CAMP_muchisimo
479,INDP_poco
479,PESC_mucho
479,PESP_muchisimo
479,PESR_poco
479,TIRO_mucho
480,PESP_muchisimo
481,PESP_poco
482,CAMP_medio
482,PESP_mucho
483,INDP_medio
483,PESP_poco
483,PESR_poco
484,INDP_poco
484,PESP_medio
485,CAMP_mucho
486,CAMP_medio
486,PESC_medio
486,PESP_medio
486,PESR_poco
487,CAMP_medio
487,PESP_muchisimo
487,PESR_poco
487,TIRO_poco
488,PESP_medio
489,OPTI_muchisimo
490,PESP_poco
491,PESP_muchisimo
492,CAMP_poco
492,PESP_poco
493,INDU_medio
493,INST_poco
493,OPTI_mucho
494,PESC_muchisimo
494,PESP_medio
494,PESR_muchisimo
494,TIRO_medio
495,CAMP_poco
495,INDP_poco
495,PESP_mucho
495,PESR_mucho
496,PESC_poco
496,PESP_poco
499,PESP_poco
500,PESP_muchisimo
501,PESC_muchisimo
501,PESP_muchisimo
501,PESR_muchisimo
502,INDP_mucho
502,PESP_medio
503,CAMP_medio
503,PESP_medio
503,PESR_medio
504,PESC_medio
509,INDU_medio
510,CUCH_poco
510,INDU_medio
510,OPTI_poco
510,PESP_poco
512,PESC_poco
512,PESR_poco
513,CAMP_muchisimo
513,PESP_poco
514,CAMP_medio
515,TIRO_mucho
516,PESC_medio
516,PESR_poco
517,CAMP_muchisimo
517,TIRO_poco
518,CAMP_medio
519,CAMP_poco
520,TIRO_poco
521,CAMP_poco
522,CAMP_medio
522,OPTI_medio
523,CAMP_medio
523,CUCH_poco
523,INDP_medio
523,OPTI_poco
523,PESC_mucho
523,PESP_mucho
523,PESR_muchisimo
524,OPTI_muchisimo
525,CAMP_medio
526,PESP_medio
526,PESR_medio
527,CAMP_medio
527,INDP_muchisimo
527,PESC_poco
527,PESP_medio
527,PESR_poco
528,CAMP_muchisimo
528,INDU_medio
528,OPTI_medio
529,PESP_poco
530,PESC_poco
531,PESC_muchisimo
531,PESP_muchisimo
531,PESR_muchisimo
532,PESP_muchisimo
533,PESP_medio
534,INDP_mucho
534,PESC_muchisimo
534,PESP_muchisimo
535,PESP_muchisimo
536,PESR_muchisimo
537,TIRO_medio
583,PESP_poco
584,INST_poco
584,OPTI_medio
585,CAMP_poco
585,OPTI_poco
586,PESP_poco
586,PESR_medio
587,CAMP_mucho
587,INDU_mucho
587,PESP_poco
587,TIRO_poco
588,OPTI_muchisimo
589,OPTI_poco
590,PESC_medio
591,OPTI_medio
592,PESC_medio
593,OPTI_medio
594,INDP_medio
595,CAMP_medio
596,INDU_muchisimo
597,INDP_poco
598,PESC_poco
599,CAMP_poco
600,CAMP_mucho
600,CUCH_poco
600,PESP_mucho
601,CAMP_medio
601,INDP_poco
601,OPTI_poco
601,PESC_mucho
601,PESP_poco
601,PESR_medio
603,PESC_poco
607,PESC_medio
608,PESC_poco
609,OPTI_poco
610,PESC_medio
610,PESP_poco
610,PESR_medio
611,PESC_medio
612,INDU_medio
613,CAMP_mucho
613,INDU_poco
613,PESC_mucho
613,PESP_muchisimo
613,PESR_mucho
613,TIRO_poco
614,CAMP_muchisimo
614,OPTI_poco
614,PESP_medio
614,PESR_medio
615,PESC_poco
616,CAMP_muchisimo
616,PESP_poco
617,CAMP_medio
617,PESP_poco
617,TIRO_poco
618,OPTI_medio
619,CAMP_poco
620,CAMP_medio
620,INDU_mucho
621,INDP_mucho
621,PESC_medio
621,PESP_medio
621,PESR_medio
622,CAMP_poco
622,PESC_poco
623,CAMP_medio
624,CAMP_medio
625,PESP_medio
626,CAMP_medio
626,PESC_medio
626,PESR_poco
627,CAMP_medio
627,INDU_muchisimo
628,PESP_poco
629,OPTI_medio
689,CAMP_poco
689,INST_poco
689,OPTI_poco
695,CAMP_mucho
695,INDU_medio
696,PESC_medio
696,PESR_poco
697,CAMP_poco
697,PESP_muchisimo
698,PESC_medio
698,PESR_mucho
699,CAMP_poco
699,PESC_medio
699,PESP_medio
699,TIRO_poco
700,CAMP_poco
700,INDU_medio
700,INST_poco
701,OPTI_poco
702,CAMP_medio
702,PESC_medio
702,PESP_medio
702,PESR_mucho
703,CAMP_muchisimo
703,CUCH_poco
703,INDU_mucho
704,CAMP_poco
704,INDU_poco
704,PESC_muchisimo
704,PESR_medio
705,CAMP_medio
705,OPTI_muchisimo
706,OPTI_medio
707,PESP_poco
708,PESC_muchisimo
708,PESP_medio
708,PESR_medio
709,PESC_muchisimo
709,PESP_mucho
709,PESR_muchisimo
710,CAMP_muchisimo
710,INDP_mucho
710,PESC_mucho
710,PESP_muchisimo
710,PESR_poco
710,TIRO_poco
711,OPTI_muchisimo
711,PESC_muchisimo
711,PESP_medio
711,PESR_muchisimo
711,TIRO_poco
712,PESC_muchisimo
712,PESP_muchisimo
712,PESR_muchisimo
713,INDP_muchisimo
714,CAMP_poco
715,CAMP_muchisimo
716,CAMP_poco
716,INDU_muchisimo
717,CAMP_poco
718,OPTI_medio
719,INDP_medio
720,CAMP_muchisimo
721,OPTI_mucho
722,CAMP_poco
722,OPTI_muchisimo
723,INDP_medio
723,INDU_medio
723,PESC_medio
723,PESP_poco
723,PESR_poco
723,TIRO_poco
724,OPTI_medio
725,CUCH_poco
726,PESC_poco
726,PESP_mucho
727,INDP_poco
727,PESC_poco
727,PESR_poco
728,INDP_medio
729,CAMP_muchisimo
729,INDP_poco
729,PESC_mucho
729,PESP_mucho
729,PESR_medio
729,TIRO_medio
730,INDP_mucho
730,PESC_muchisimo
730,PESP_muchisimo
730,PESR_muchisimo
758,PESC_muchisimo
758,PESP_mucho
758,PESR_mucho
758,TIRO_poco
760,PESR_poco
761,PESC_muchisimo
761,PESR_muchisimo
764,CAMP_medio
765,INDP_mucho
766,INDP_poco
766,PESC_medio
766,PESP_medio
767,PESP_muchisimo
768,PESC_mucho
768,PESR_muchisimo
769,PESC_muchisimo
769,PESP_muchisimo
769,PESR_muchisimo
770,CAMP_poco
771,CAMP_medio
771,INDP_medio
771,PESC_medio
771,PESP_medio
771,PESR_medio
772,PESP_muchisimo
773,OPTI_poco
773,PESP_muchisimo
774,CAMP_medio
775,CAMP_medio
779,CAMP_muchisimo
780,PESC_muchisimo
780,PESP_poco
780,PESR_mucho
781,CAMP_poco
781,OPTI_medio
782,OPTI_poco
782,PESP_medio
783,OPTI_medio
784,CAMP_mucho
784,INDU_muchisimo
785,CAMP_poco
785,PESP_medio
785,PESR_poco
786,CAMP_mucho
786,INDU_mucho
787,CAMP_medio
787,INDP_mucho
787,PESC_mucho
787,PESP_medio
788,CAMP_muchisimo
788,INDU_muchisimo
788,OPTI_medio
789,CAMP_mucho
789,CUCH_poco
789,PESC_muchisimo
789,PESP_mucho
789,PESR_mucho
795,CAMP_medio
795,PESC_muchisimo
795,PESP_muchisimo
795,PESR_muchisimo
796,CAMP_poco
796,PESC_medio
796,PESP_medio
796,PESR_medio
797,PESP_muchisimo
798,PESC_mucho
847,CAMP_medio
848,CAMP_poco
849,CAMP_mucho
850,PESC_mucho
851,CAMP_mucho
851,TIRO_medio
852,PESC_muchisimo
852,PESP_poco
852,PESR_muchisimo
853,PESP_medio
853,PESR_medio
855,OPTI_muchisimo
856,OPTI_muchisimo
857,OPTI_muchisimo
858,CAMP_mucho
859,CAMP_medio
860,CAMP_poco
860,CUCH_poco
860,INDU_poco
864,CAMP_poco
864,INDP_poco
864,PESP_medio
865,CAMP_medio
865,INDU_medio
866,PESP_poco
866,PESR_muchisimo
867,CAMP_medio
871,INDP_medio
872,INDU_poco
873,CAMP_poco
873,PESR_poco
874,CAMP_medio
875,OPTI_poco
876,CAMP_medio
876,INST_poco
876,OPTI_medio
877,CAMP_poco
877,OPTI_medio
878,OPTI_muchisimo
879,CAMP_medio
879,INST_poco
879,PESC_medio
879,PESP_poco
879,PESR_medio
880,CAMP_mucho
880,CUCH_poco
880,OPTI_poco
881,CAMP_medio
881,PESP_medio
881,TIRO_medio
882,CAMP_muchisimo
882,INDU_medio
882,TIRO_poco
883,INDU_poco
883,PESP_muchisimo
883,TIRO_medio
884,CAMP_medio
885,CAMP_poco
886,OPTI_poco
886,PESC_muchisimo
886,PESP_poco
886,PESR_muchisimo
887,PESC_mucho
887,PESP_medio
887,PESR_medio
888,CAMP_muchisimo
889,CAMP_mucho
894,PESP_mucho
895,PESC_medio
895,PESR_medio
896,CAMP_poco
897,PESC_medio
897,PESR_medio
898,OPTI_muchisimo
899,PESC_muchisimo
899,PESR_muchisimo
900,INDP_medio
901,OPTI_muchisimo
902,PESC_muchisimo
902,PESP_medio
903,OPTI_mucho
904,OPTI_poco
905,CAMP_poco
905,OPTI_poco
906,PESC_muchisimo
906,PESR_mucho
907,PESC_poco
907,PESR_medio
908,OPTI_muchisimo
909,CAMP_poco
909,PESP_poco
909,PESR_poco
910,INDU_mucho
911,PESC_poco
911,PESR_poco
912,CAMP_mucho
913,CAMP_mucho
